Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,coefficient_combined_log_metric,Time_s,component,RE_abs_norm
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.1,full_path,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.1,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.1,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.1,tortuosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.1,fluid_chemistry,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.2,full_path,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.2,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.2,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.2,tortuosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.2,fluid_chemistry,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,0.4,full_path,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.4,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.4,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,0.4,tortuosity,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.4,fluid_chemistry,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,0.8,full_path,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.8,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.8,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,0.8,tortuosity,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,0.8,fluid_chemistry,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.2186338597214,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426008603403e-05,9.659384446620077e-09,1.2591088313172497e-09,0.0056668329578717265,1478876675.9152277,45038850.5625777,1479562340.9056044,-7.877485907456174e-08,4.101139170970552e-07,4.1761094743661514e-07,2.1891047206260718e+18,1.7439890341890733e-13,1.4113500901444743e+27,9.170133268747012,1.6,full_path,1.0000003147100416
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,1.6,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,1.6,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.2186338597214,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426008603403e-05,9.659384446620077e-09,1.2591088313172497e-09,0.0056668329578717265,1478876675.9152277,45038850.5625777,1479562340.9056044,-7.877485907456174e-08,4.101139170970552e-07,4.1761094743661514e-07,2.1891047206260718e+18,1.7439890341890733e-13,1.4113500901444743e+27,9.170133268747012,1.6,tortuosity,1.0000003147100416
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,1.6,fluid_chemistry,1.0
0.5451,1.8587533991179785e-11,18833.8181813924,1.21871261371758,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8233432910431657e-05,9.659384446620077e-09,1.2591198676372764e-09,0.005667505035909532,1478720744.779042,45130291.203067,1479409268.669072,-7.938448946505016e-08,4.0996745454092984e-07,4.1758257979757257e-07,2.1886517842239583e+18,1.7437521095039607e-13,1.411177861125755e+27,9.170088335279248,3.2,full_path,0.9998968568965558
0.5451,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.822975644059742e-05,9.659384446620077e-09,1.259454817299881e-09,0.00566787220001894,1479063417.9536235,45174990.82378203,1479753146.3472495,-7.918706083817912e-08,4.101821909326491e-07,4.177559339644354e-07,2.1896693741245844e+18,1.745200203624977e-13,1.410812234820662e+27,9.170189272070008,3.2,porosity,1.0001292754820335
0.545,1.8587533991179785e-11,18833.8181813924,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823451924452404e-05,9.659384446620077e-09,1.258894836558963e-09,0.005666828982346025,1478629309.2841227,45033074.76097979,1479314913.0920265,-8.022451882281338e-08,4.095564550588967e-07,4.173397456518634e-07,2.1883726120964698e+18,1.7417246330076204e-13,1.4120304404406176e+27,9.170060635430296,3.2,permeability,0.9998330842496511
0.545,1.8581234013843514e-11,18827.4347295717,1.21871261371758,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823201510041572e-05,9.659384446620077e-09,1.2589867835717243e-09,0.00566646633899523,1478780455.46515,44999588.47659885,1479464970.3283887,-7.955833070660396e-08,4.0979630515654764e-07,4.174476490588726e-07,2.18881659842878e+18,1.7426253970477968e-13,1.4119190987816927e+27,9.170104686716533,3.2,tortuosity,0.9999345042976194
