Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,coefficient_combined_log_metric,case,Pe,Time_s,component,RE_abs_norm_to_first
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,Pe0p1,0.1,0.4,full_path,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.4,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.4,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,Pe0p1,0.1,0.4,tortuosity,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.4,fluid_chemistry,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,Pe0p1,0.1,0.8,full_path,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.8,porosity,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.8,permeability,1.0
0.545,1.8581234013843514e-11,18827.4347295717,1.21863398459518,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8231426942693248e-05,9.659384446620077e-09,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,2.1891042363580188e+18,1.742548325319205e-13,1.411933506656363e+27,9.170133220710259,Pe0p1,0.1,0.8,tortuosity,1.000000204101301
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,Pe0p1,0.1,0.8,fluid_chemistry,1.0
